X81,X82,X83,Total Y
37.82648753,-0.293938528,60.17398127,107.9500924
37.80803838,-0.387476692,59.96222069,107.9004343
37.76186078,-0.422391688,59.9380988,107.7815067
37.73749641,-0.656533912,59.90708608,107.6621795
37.75315619,-0.734094142,59.98135434,107.5487908
37.64850781,-0.74906794,59.6268314,107.4237293
37.62546323,-0.910518747,59.66077708,107.3124504
37.62891077,-0.949517008,59.62725442,107.2204834
37.56675435,-1.034998783,59.62888881,107.1249827
37.49637357,-1.004920458,59.34716563,107.0332568
37.53918904,-1.176960131,59.60857816,106.9572472
37.49775706,-0.905300779,59.48003591,106.87727
37.29492119,-1.315359081,59.1535235,106.7691599
37.45096125,-1.441581576,59.29578536,106.7217151
37.49823294,-1.518573613,59.33121027,106.6554873
37.4715499,-1.612396381,59.08190218,106.5804046
37.38259095,-1.515903183,58.96489241,106.5110713
37.33697352,-1.612599798,59.0823075,106.4406496
37.30648215,-1.557702962,59.10809454,106.3771763
37.254198,-1.533830178,58.92544597,106.3073597
37.20824987,-1.570080789,59.01962619,106.2444905
37.22378718,-1.635951997,59.09595824,106.1880649
37.17344803,-1.650932397,58.71678992,106.1297562
37.13725105,-1.676658195,58.66315457,106.0745718
37.10916272,-1.781446951,58.53442285,106.0272201
37.10615624,-1.782458416,58.59753018,105.977043
37.03431266,-1.67403948,58.43219126,105.9211697
36.93153165,-1.678281694,58.36761091,105.8597627
36.94309726,-1.710222528,58.44980804,105.8162381
36.90257872,-1.758918005,58.40292538,105.766524
36.8488595,-1.76997782,58.18041427,105.7156198
36.79033334,-1.813018129,58.10357565,105.6666008
36.80618034,-1.798280602,58.20120651,105.6219635
36.80076023,-1.824391571,58.16168424,105.5777216
36.75659075,-1.857639182,57.99741929,105.5335156
36.75129563,-1.934271508,58.11029303,105.4971528
36.72826407,-1.903174158,58.03132538,105.4555374
36.71319613,-1.930270069,58.08104431,105.416369
36.69498736,-1.930472161,57.85222289,105.3777248
36.70959896,-2.080996809,58.09389194,105.3411332
36.63770143,-2.035861999,57.58836342,105.3066813
36.61821645,-2.047055286,57.58398379,105.265004
36.60232137,-2.049655413,57.68637589,105.2268376
36.66911022,-2.127823049,57.96403424,105.1941519
36.58377919,-2.127908867,57.55828189,105.1551447
36.54341003,-2.103656882,57.55343149,105.11605
36.51660838,-2.143308219,57.60345779,105.0816226
36.54050552,-2.169306144,57.67344084,105.04622
36.47679701,-2.14136262,57.5051357,105.0133536
36.46498385,-2.144925868,57.5515629,104.9796908
36.4734339,-2.25497881,57.39582519,104.9518686
36.44664408,-2.317871414,57.35353999,104.9189641
36.4709025,-2.326391463,57.50209227,104.8907612
36.46076704,-2.332919859,57.36523996,104.8580498
36.50079305,-2.43506025,57.49330132,104.8333649
36.45051368,-2.437557583,57.33546055,104.8018551
36.43700366,-2.373281371,57.31818149,104.7702549
36.41400663,-2.402899257,57.3497362,104.7423853
36.4329479,-2.467940633,57.5697086,104.7097725
36.40889813,-2.465383327,57.24344097,104.6875756
36.40844844,-2.485394393,57.32964384,104.6573037
36.36151208,-2.553192402,57.32499607,104.6218064
36.42179317,-2.58183639,57.32969035,104.5995074
36.35461482,-2.514260978,56.96933096,104.5691869
36.35104208,-2.553413682,57.1908475,104.5363509
