X41,X42,X43,Total Y
40.97339913,-1.324284564,66.29731131,107.7689
40.96166787,-1.347144691,66.28587789,107.7115
40.94953368,-1.371242452,66.2734993,107.7227
40.93668107,-1.394111175,66.26254525,107.6213
40.92379099,-1.420150459,66.2482648,107.4716
40.90956274,-1.444869218,66.23074679,107.4042
40.89384635,-1.469788611,66.21292117,107.3244
40.87747178,-1.495782963,66.19430145,107.2537
40.86053428,-1.522183403,66.17397076,107.1959
40.84269903,-1.548631082,66.15256242,107.1207
40.82398367,-1.574780566,66.12927847,107.0793
40.8042214,-1.600435534,66.10419871,107.0264
40.78352044,-1.626197141,66.07780822,106.9535
40.76189715,-1.651475127,66.05067374,106.8941
40.73937248,-1.67630417,66.02180093,106.845
40.71606765,-1.701283126,65.99195643,106.7762
40.69199845,-1.725820048,65.96052636,106.7001
40.66711441,-1.75007115,65.92767559,106.6539
40.6414368,-1.773732226,65.89450189,106.6118
40.61520536,-1.796862525,65.86037357,106.5718
40.58826647,-1.819528866,65.82508764,106.5201
40.56058917,-1.841732789,65.78845448,106.4586
40.53202104,-1.863360712,65.75019303,106.3854
40.50266299,-1.884049868,65.71138633,106.3111
40.47277911,-1.903811215,65.67232188,106.299
40.44243927,-1.922668638,65.63235452,106.2642
40.4115224,-1.940412133,65.59149422,106.2119
40.37992083,-1.957181943,65.54931958,106.1525
40.34637384,-1.975802636,65.50404966,106.1509
40.3116524,-1.99114049,65.45677235,106.1306
40.27585437,-2.005052942,65.4078522,106.1057
40.23943033,-2.018565076,65.35932438,106.0805
40.20265246,-2.030709601,65.30860382,106.054
40.16499707,-2.041401191,65.25570319,105.9636
40.12626648,-2.05107278,65.1998331,105.9347
40.08603848,-2.059431275,65.14089309,105.9293
40.04458791,-2.066924532,65.08148952,105.8851
40.00252775,-2.073195155,65.01908991,105.8387
39.95955298,-2.078630351,64.95461606,105.7754
39.91558641,-2.084100942,64.88864537,105.7243
39.87073991,-2.089630716,64.82074872,105.6834
39.82522905,-2.095260059,64.75114314,105.6353
39.77891311,-2.100969914,64.68176112,105.6037
39.73268189,-2.107678754,64.61292759,105.5716
39.68717509,-2.114907384,64.54373479,105.5355
39.64177324,-2.122742081,64.47355785,105.4962
39.59612873,-2.131315691,64.40317497,105.4584
39.55073134,-2.14061226,64.33360586,105.4132
39.506183,-2.150840555,64.26643662,105.3656
39.46271882,-2.162692528,64.20187524,105.3223
39.4206786,-2.175875291,64.13810761,105.2556
39.37966678,-2.189317146,64.07606413,105.2601
39.33965677,-2.203415365,64.01666854,105.263
39.30113398,-2.218310277,63.95994798,105.2451
39.26419891,-2.234329399,63.90584441,105.207
39.22869913,-2.250837339,63.85429476,105.1669
39.19430097,-2.267607367,63.80478731,105.0988
39.16108839,-2.284666893,63.75800737,105.0804
39.12933535,-2.303492527,63.71276164,105.0703
39.09845071,-2.32161028,63.67082106,105.0594
39.06888657,-2.341648868,63.63304659,105.0768
39.040753,-2.362429153,63.59679379,105.0474
39.01318487,-2.383510665,63.56071306,104.9833
38.9858169,-2.40545727,63.5254742,104.935
38.95879892,-2.428333883,63.49117271,104.9463
38.93200334,-2.452528662,63.45718557,104.9653
38.90523466,-2.478099221,63.42300591,104.9086
38.87820628,-2.504786871,63.38776929,104.8737
38.85050489,-2.532160544,63.35135606,104.8339
38.82258656,-2.559693255,63.31607319,104.8045
38.79468367,-2.587737237,63.27855986,104.7772
38.76601001,-2.620073959,63.23485052,104.8447
38.73377932,-2.653817004,63.18798803,104.8337
38.70002411,-2.689101108,63.13736205,104.7792
38.66474931,-2.726146176,63.08243441,104.7277
38.62774407,-2.764945865,63.0251027,104.7091
38.58902734,-2.805361828,62.96370949,104.6913
38.54879961,-2.847946772,62.89786431,104.6848
38.50645758,-2.892404315,62.82821413,104.6645
