X141,X142,X143,Total Y
40.77791349,-0.261537656,63.55065429,108.756192
40.6800869,-0.403157462,63.493586,108.3414917
40.56675132,-0.521726454,63.3451942,108.0052905
40.41522525,-0.61453384,63.00817797,107.7136992
40.39099423,-0.703458623,63.14265692,107.4648882
40.27855191,-0.821915409,62.79931472,107.2530794
40.13633362,-0.871799474,62.52166837,107.0593823
40.10234665,-0.882940894,62.59838084,106.8862568
40.00840796,-1.100701237,62.14222357,106.7088315
39.92607888,-1.109919475,62.03651633,106.5724049
39.87568216,-1.092201268,62.04040945,106.415132
39.83404757,-1.227456859,61.94592096,106.2834039
39.74244281,-1.16890777,61.87206517,106.1555237
39.74760923,-1.229391194,61.79189324,106.0385509
39.72289632,-1.321800806,61.83216951,105.9233876
39.63674836,-1.275144347,61.61665749,105.8168128
39.69428814,-1.47791026,61.85294865,105.7214262
39.53247926,-1.490756194,61.34840917,105.6140216
39.52777755,-1.475462403,61.27973582,105.5252266
39.46653806,-1.619479571,61.29934984,105.4271687
39.35126403,-1.527555537,60.9898256,105.3394265
39.38163054,-1.624344851,61.1225917,105.2497842
39.28839559,-1.610903022,60.95438647,105.1794514
39.28100534,-1.594902011,60.98643159,105.0991923
39.28467734,-1.681532019,60.98622062,105.0277186
39.18828327,-1.613533675,60.81392968,104.9546731
39.2460214,-1.648505613,60.96809033,104.8979069
39.24515027,-1.783440504,60.9489802,104.8332142
39.13991047,-1.783624021,60.69869444,104.7649442
39.18459805,-1.881563264,60.81242564,104.7120606
39.05781364,-1.851082854,60.37856381,104.6357514
39.06728967,-1.856491624,60.52580831,104.5798086
39.0542945,-1.945961613,60.56554237,104.5146577
38.96946118,-1.888988514,60.18243996,104.4593212
39.00518453,-1.997392396,60.58160236,104.3952079
38.91142038,-1.957435454,60.22391286,104.3435447
38.91727524,-1.94593539,60.28180069,104.2852534
38.945578,-2.04542139,60.26556017,104.2337892
38.85145607,-1.936587602,60.09646511,104.1811299
38.93649679,-2.021023728,60.26880487,104.1349985
38.88175942,-2.094056847,60.28972343,104.0804265
38.81635384,-2.061263393,60.1338234,104.0269478
38.84753574,-2.18553088,60.08757456,103.9878317
38.74002364,-2.140567349,59.94487115,103.9308831
38.75366214,-2.175925093,59.90662654,103.8849681
38.72525872,-2.253213083,59.89064766,103.837861
38.65103123,-2.182399502,59.64597298,103.7925841
38.69642095,-2.313113784,59.88914431,103.7447179
38.5960781,-2.249834699,59.4591921,103.7063881
38.62898231,-2.215739039,59.6038159,103.6573637
38.64828988,-2.299887488,59.8014287,103.6162602
38.58956106,-2.200787855,59.59677293,103.5754236
38.66859171,-2.272631591,59.64754203,103.5359705
38.61603199,-2.336057787,59.88362559,103.4910608
38.55885097,-2.293888239,59.51967011,103.4511877
38.59718086,-2.466620648,59.66401307,103.4143579
38.47736524,-2.382376003,59.3132738,103.375425
38.49108437,-2.4565655,59.40120731,103.3270916
38.4551395,-2.498946011,59.24519306,103.2932579
38.41348053,-2.435463166,59.23445738,103.2501853
38.4333387,-2.511207353,59.25518682,103.2042801
38.40514122,-2.489896908,59.25171,103.1798988
38.37741506,-2.451412702,59.11470343,103.1327305
38.41948658,-2.49994012,59.26769374,103.0993735
38.38213278,-2.492864032,59.30394703,103.0628567
38.37934368,-2.467698902,59.11713839,103.0246815
38.41264925,-2.532782689,59.38140364,102.9886305
38.36586857,-2.559742253,59.16626116,102.9581446
38.3362136,-2.577494289,59.10718903,102.9198245
38.35665288,-2.645940934,59.24534921,102.890704
38.26061101,-2.653413245,58.90066094,102.8465956
38.25458878,-2.640591613,58.82918322,102.8157384
38.26938284,-2.718595568,59.01838715,102.7844113
38.17584306,-2.637915601,58.64040892,102.738891
38.26029851,-2.729658436,58.93064508,102.7150436
38.16366978,-2.727103578,58.59840924,102.6738877
38.15406545,-2.673437772,58.68182346,102.6393622
38.20708137,-2.788258214,59.02293252,102.6128726
38.10034761,-2.685471392,58.62783236,102.5762463
38.17945251,-2.714669159,58.87901529,102.5398604
38.16835757,-2.803218585,58.80566442,102.5159612
38.07839291,-2.675280926,58.71885851,102.4734053
38.19750626,-2.828276245,58.94308302,102.4523453
38.07365556,-2.810213036,58.69593267,102.4180976
38.08222028,-2.768879125,58.56057031,102.3834262
38.11771528,-2.874311837,58.63557004,102.3566565
38.02477252,-2.821392568,58.52224911,102.3275179
38.04408927,-2.871702388,58.52328539,102.2955151
37.99845944,-2.934096317,58.52488148,102.2663799
37.95347476,-2.906459828,58.37033383,102.237771
37.95635842,-2.892131938,58.40668927,102.2079851
37.97880865,-2.973135009,58.4276074,102.1788684
37.90131631,-2.918930162,58.12638945,102.1464808
37.95602216,-2.940301024,58.32880037,102.1253355
37.92631411,-2.939248859,58.20233477,102.0928767
37.9167007,-2.873643029,58.11429184,102.0640708
37.97471936,-2.973281056,58.51073015,102.0387034
37.90124872,-2.978050602,58.21703546,102.0120768
37.88242745,-3.146439441,58.2709439,101.9786498
37.7208646,-3.304147277,57.76758204,101.9579721
37.7347518,-2.970621454,58.03035654,102.1231129
37.87114373,-3.038632262,58.37232072,102.0799431
37.82442215,-3.010927747,57.98871358,102.0144993
37.83152604,-3.01261832,58.07986321,101.9680544
37.84682432,-3.139535337,58.31071702,101.927685
37.73773144,-3.05774274,57.92292879,101.8881811
37.79342761,-3.119821705,58.06438143,101.8598728
37.75225768,-3.165670345,58.12928065,101.8273371
37.71484942,-3.084416213,57.85820983,101.7936309
37.76841161,-3.134497614,57.98633995,101.7654401
37.73536016,-3.14082745,57.8083961,101.7426774
37.70521888,-3.05830505,57.8842564,101.7029189
37.79041549,-3.186230919,58.00813926,101.6892096
37.67796097,-3.138189765,57.76211508,101.6559159
37.71152697,-3.139957043,57.90939531,101.6291782
37.71357038,-3.261173821,58.04729078,101.6027448
