X1,X2,X3,X21,X22,X23,X31,X32,X33,X41,X42,X43,X51,X52,X53,X61,X62,X63,X71,X72,X73,X81,X82,X83,X91,X92,X93,X10,Y10,Z10,X111,X112,X113,X121,X122,X123,X131,X132,X133,X141,X142,X143,X151,X152,X153,Total Y
35.25221946,-3.417630709,63.65292611,35.19537512,-3.270674273,63.49918573,35.18947764,-3.403585633,63.57285159,35.39892517,-3.430677456,63.54627492,34.72293418,-3.575548078,62.44659886,35.28750297,-3.567427304,63.25519743,34.84104052,-3.535440987,62.88312732,35.3670981,-3.305995108,64.4045352,34.88485999,-3.649269234,62.67306841,34.79609081,-3.603593647,62.90143998,35.29128741,-3.548015637,63.64531596,34.45430209,-3.613133915,62.42111367,35.29924011,-3.51795207,63.58022847,34.75865766,-3.656536928,62.77098549,35.09294251,-3.529175278,63.47556681,93.40879167
34.8574216,-3.476901064,63.75086125,34.82309798,-3.215907252,63.52248153,34.84726294,-3.469049869,63.49611471,34.92288994,-3.488995954,63.84890501,34.41334538,-3.724289413,62.8502741,34.87328874,-3.638584517,63.6753623,34.44097925,-3.785994239,62.78114201,35.18585226,-3.442430276,64.89478871,34.42422853,-3.650836616,62.73297646,34.40300897,-3.605846917,62.71898374,34.96042999,-3.726163106,63.87604766,34.06202704,-3.586113063,62.3541373,34.86841121,-3.512895415,63.66039737,34.26055286,-3.664012961,63.00686021,34.60435866,-3.597921831,63.57137704,93.81358333
34.89611996,-3.543576225,64.65159591,34.89323575,-3.372023717,63.35473678,34.89377032,-3.644011111,63.88093217,35.00008768,-3.690639013,64.11673328,34.39307552,-3.795926725,63.448756,34.95191264,-3.838987172,64.67879261,34.33164582,-3.782972141,62.97368816,35.22959068,-3.713463713,65.4906726,34.47717876,-3.807234834,63.30128536,34.44217293,-3.719989268,63.27970092,34.96308772,-3.875770367,64.34684635,34.11360572,-3.713200648,62.84546391,34.94292934,-3.639180414,64.09200251,34.27771474,-3.779347819,63.00438856,34.56673197,-3.715437707,63.76484504,93.80391667
34.75190196,-3.59005022,64.07018746,34.74983229,-3.300444851,63.34615775,34.71030727,-3.552008588,63.35476369,34.76576256,-3.612584985,63.26081218,34.25879785,-3.692028379,62.81523663,34.73250153,-3.761618464,63.64814204,34.28397394,-3.687773839,62.82283289,34.86591292,-3.603193131,64.54004229,34.33702296,-3.68771449,62.81038191,34.33756587,-3.621184058,62.80376813,34.78814008,-3.801409774,63.60323645,33.99860943,-3.745789666,62.28692837,34.79229538,-3.578770459,63.55594258,34.15703567,-3.688738187,62.69531075,34.45355027,-3.631408152,63.45947574,93.80016667
34.75048732,-3.572132749,63.73863905,34.81178512,-3.611768614,63.52086597,34.78105486,-3.576774432,63.46173608,34.83394723,-3.626784928,63.44250146,34.34519582,-3.698986073,62.86813003,34.78997407,-3.762408188,63.70551393,34.36057771,-3.806178081,62.92348558,34.97608925,-3.593109239,64.82278731,34.4240724,-3.733881163,62.8898551,34.41220048,-3.643909002,62.89354354,34.85308772,-3.853776365,63.4837835,33.98953034,-3.772576424,62.34090514,34.84372071,-3.751793693,63.71451529,34.23728374,-3.670165674,62.98325405,34.52701895,-3.630585799,63.52439666,93.81391667
34.78003561,-3.616073921,63.93647977,34.64165206,-3.589322715,63.35213126,34.7938526,-3.590646471,63.66135434,34.85866648,-3.678810103,63.7108074,34.36408259,-3.830587377,63.11020375,34.81154933,-3.839898227,63.61688411,34.31722201,-3.845384623,63.21751322,35.00558088,-3.770558574,64.57136362,34.41970948,-3.730180732,63.17779222,34.4258434,-3.679275406,63.15450915,34.84946067,-3.847897113,63.58491074,33.99747337,-3.781371425,62.64222137,34.77832039,-3.617111734,63.4154743,34.27485666,-3.833573677,62.82076232,34.54021103,-3.653325942,63.79667043,94.212125
34.75985235,-3.577873057,64.20324187,34.64756876,-3.743596124,63.90530626,34.79279623,-3.722183505,63.76199033,34.82826061,-3.755597275,63.95701977,34.29563928,-3.829551391,63.30318031,34.78868609,-3.936767482,64.11538185,34.30529826,-3.869795071,63.38695686,34.91870061,-3.721112405,64.95864777,34.43902142,-3.886902543,63.33586943,34.41545205,-3.818698531,63.32480558,34.85745362,-3.970961402,64.06594584,33.99374363,-3.923708078,63.12665597,34.84431321,-3.709591001,64.03316417,34.177052,-3.841320358,63.08689028,34.52664972,-3.804095509,63.77827218,94.21820833
34.71912066,-3.399920247,64.01208228,34.48946732,-3.419438017,63.54848215,34.64345177,-3.399861476,63.46453713,34.72276809,-3.453297123,63.73317058,34.23359508,-3.642927573,63.00156727,34.65773395,-3.616409481,63.81349553,34.2100851,-3.663389969,63.07157569,34.92986235,-3.396991039,65.26061539,34.2607551,-3.535470557,63.00497719,34.25568767,-3.580725481,63.01137336,34.71638386,-3.632856638,63.92972597,33.83292346,-3.565702788,62.7292801,34.71660611,-3.428792222,63.74994627,34.10065844,-3.510544323,63.059954,34.372751,-3.457483228,63.64621314,93.8045
34.97604765,-3.443191933,64.49133012,34.83365236,-3.456660721,63.9633445,34.99067135,-3.42205033,63.93688165,35.05552121,-3.487370618,64.10148192,34.49119167,-3.654513826,63.4070457,35.00384987,-3.645868526,64.27128036,34.49855006,-3.557614788,63.52031385,35.27673055,-3.597829033,65.69748416,34.6420172,-3.606706295,63.48359028,34.55188928,-3.528388793,63.48432173,35.06902899,-3.699185265,64.26373988,34.20884197,-3.588991607,63.1364238,35.04851516,-3.473970215,64.15879339,34.45228773,-3.553182585,63.19533095,34.73343719,-3.492346612,64.16283772,94.64054167
34.91636425,-3.594208016,64.71496067,34.78944487,-3.578339672,63.94596147,34.9528912,-3.569122584,64.08856788,35.00774363,-3.621245325,64.32812532,34.47457608,-3.68902665,63.7061783,34.95204073,-3.767702219,64.2202428,34.52550484,-3.805209333,63.43673181,35.14152762,-3.640593686,65.56733529,34.56768196,-3.719194882,63.76126006,34.56003136,-3.643983855,63.76126006,35.01734633,-3.835309166,64.34420813,34.17905633,-3.756007039,63.03482634,34.98525355,-3.595693859,64.20215589,34.40506318,-3.668868168,63.38132144,34.67215362,-3.61884941,64.22650977,94.21479167
34.78750078,-3.567930712,64.06760696,34.67670396,-3.60764094,63.31660706,34.8268044,-3.56640949,63.71766894,34.88044709,-3.447814029,63.79428638,34.39582383,-3.694216998,63.20185035,34.82998646,-3.77177409,63.64373888,34.34252087,-3.789834592,63.28021948,34.99731301,-3.507269192,65.0741484,34.46699113,-3.7060191,63.20425691,34.45438075,-3.648567876,63.180388,34.88323727,-3.801396675,63.74193456,34.02673031,-3.738234708,62.81627108,34.87629727,-3.755833495,63.96982615,34.29657603,-3.6692882,63.02217938,34.56567831,-3.64822985,63.83368098,94.216375
34.82541959,-3.718735541,64.31406812,34.66505136,-3.720373021,63.58878528,34.82659633,-3.752931018,63.68967897,34.98227257,-3.742309138,64.01632976,34.38922816,-3.825972542,63.12257411,34.83887383,-3.918871975,64.05751413,34.35211144,-3.858356084,63.56219057,35.19598977,-3.696058152,65.41111434,34.47360782,-3.867412874,63.18015118,34.45234765,-3.93538804,63.14308836,34.90769059,-3.952243956,63.77185907,34.03361176,-3.917745512,62.57666143,34.7838487,-3.892947707,63.7652596,34.28767568,-3.824328693,63.21692529,34.54728597,-3.801718646,63.81375792,93.81
34.66238756,-3.492316584,64.79319479,34.53346242,-3.525041696,63.54998532,34.65892029,-3.505252716,63.56347162,34.76449594,-3.560399598,64.48584575,34.26609548,-3.626369283,63.2784812,34.69689115,-3.69705744,64.24026657,34.25251963,-3.638610895,63.16554359,34.99629226,-3.528039917,65.73596002,34.31594551,-3.640788535,63.17548274,34.20839152,-3.558276984,63.5201919,34.76392209,-3.734584805,64.15012455,33.86524742,-3.682235264,62.59647704,34.64552603,-3.541351086,63.79706174,34.13521097,-3.615645378,63.16265789,34.39509485,-3.547729008,63.70418702,93.63058333
34.84561114,-3.380059588,64.22201683,34.7283684,-3.402806543,63.55584747,34.86623482,-3.396369644,63.79408799,34.92781011,-3.389223568,63.58653914,34.44256097,-3.491802507,63.25304189,34.8833991,-3.558905326,63.73181033,34.44888237,-3.506041663,63.36428763,35.09028621,-3.326266879,65.36213508,34.51971119,-3.519429857,62.94375038,34.51227251,-3.456686661,63.22243304,34.94288391,-3.64899248,63.74393491,34.08156614,-3.551953131,62.82368046,34.91552516,-3.419991802,64.06814407,34.3389684,-3.470753786,62.99529622,34.62173802,-3.437105959,63.81791842,94.21595833
35.02255344,-3.386929701,64.96809365,34.87434803,-3.412774584,63.99645313,35.02076407,-3.346882251,64.33921946,35.11785171,-3.424071612,64.46491204,34.60071599,-3.522457831,63.47249279,35.07163211,-3.61781426,64.4881834,34.60344985,-3.625971787,63.49528868,35.41627558,-3.427809635,65.81838577,34.66355182,-3.515424768,63.72599032,34.6494622,-3.463469151,63.93097927,35.09673408,-3.630338137,64.34466736,34.23487203,-3.55352671,63.34817497,35.06904888,-3.41805302,64.18375438,34.50152793,-3.474376867,63.43082779,34.76534071,-3.445512106,64.07299906,94.63191667
34.99731617,-3.415944597,64.64221073,34.87281116,-3.414550684,63.84528453,35.04265656,-3.388775269,64.274682,35.09251186,-3.443227143,64.27329377,34.582415,-3.649671252,63.6329504,35.01735362,-3.627810226,64.17411021,34.53797672,-3.50420246,63.82500686,35.26866179,-3.467744065,65.49307436,34.67192903,-3.492344526,63.75384421,34.64305419,-3.445522774,63.71359861,35.10201031,-3.640525754,64.14883016,34.2262948,-3.544937631,63.26238075,35.07051288,-3.407152996,64.07975632,34.49344876,-3.463232277,63.70839745,34.75911543,-3.446295263,63.98621035,94.64283333
34.97058865,-3.386595342,64.45779826,34.87200021,-3.225643434,64.06958141,35.02061529,-3.497184466,64.48404808,35.06393684,-3.54752805,64.15855759,34.50651426,-3.747337815,63.47643125,34.99910629,-3.702408069,64.36611082,34.61693913,-3.770477969,63.56114394,35.19779068,-3.568359122,65.2495387,34.69019269,-3.677306274,63.62017656,34.66287883,-3.588373692,63.62729441,35.08424295,-3.76386321,64.40391948,34.24069243,-3.685825086,63.41374154,35.0728186,-3.701917595,64.26879256,34.50810537,-3.595636612,63.39178196,34.76553805,-3.554418354,64.21571197,94.63558333
34.93830238,-3.392042198,64.64918082,34.91190834,-3.083230345,63.92971335,34.89053381,-3.356590696,64.26785104,34.94981775,-3.419226519,64.12786862,34.39042391,-3.491081827,63.59549115,34.90724774,-3.614221458,64.16073364,34.39313671,-3.639174762,63.75741284,35.13330761,-3.502685964,65.95459381,34.51748399,-3.516516306,63.69368227,34.51265355,-3.43601038,63.73188615,34.95085334,-3.622940232,64.255012,34.08420151,-3.54801982,63.19851533,34.84920773,-3.438709263,64.43595523,34.35707915,-3.575811531,63.29809205,34.62455239,-3.440699233,64.26008532,94.21970833
35.00495386,-3.397094748,64.82096882,35.07344792,-3.416457027,63.96759153,35.04511958,-3.352850289,64.31460333,35.0959229,-3.447061635,64.31523931,34.60457658,-3.511782812,63.37777787,35.03202534,-3.604013826,64.26989193,34.54520658,-3.655438698,63.59768499,35.24256303,-3.415599022,65.62697124,34.67468169,-3.535297906,63.91855839,34.66853132,-3.477326565,63.84512535,35.10280618,-3.635091393,64.3634221,34.23477534,-3.589550574,63.1203879,35.06139123,-3.558678889,64.49850812,34.43671967,-3.637494731,63.38354557,34.77295645,-3.419207608,64.11196415,94.64308333
34.99122221,-3.617189156,64.80392308,34.87185497,-3.58175291,63.8679666,35.04635418,-3.576871858,64.23273114,35.0794613,-3.603717776,64.01079662,34.59496371,-3.830235076,63.6410744,35.0234099,-3.790709782,64.60388858,34.53453312,-3.65294141,63.37740633,35.27369437,-3.757276072,65.94391336,34.67084626,-3.688472244,63.38808579,34.64756618,-3.769530716,63.82457467,35.10493005,-3.817211492,64.35174505,34.21009665,-3.749336849,63.09015443,34.990986,-3.616311453,64.47546628,34.39574431,-3.67154055,63.39514757,34.77033753,-3.621515495,64.07910919,94.63820833
34.78062387,-3.398981768,64.08327262,34.7010184,-3.394849016,63.64162382,34.82208591,-3.372188022,63.81426562,34.90629074,-3.469769372,63.78768659,34.32701121,-3.501313204,63.01174058,34.83047424,-3.625636425,64.01353085,34.45232848,-3.652440741,63.23016136,34.94367162,-3.556181201,64.85729668,34.50319437,-3.532583272,63.19779803,34.39216091,-3.587829379,63.22328624,34.90870678,-3.631333974,63.94963385,34.03797727,-3.571011854,62.43521109,34.8762731,-3.32143812,63.88751267,34.31188052,-3.490740841,62.99584053,34.58626922,-3.436456421,63.91302322,94.64158333
34.98637557,-3.398001792,64.68849236,34.88202783,-3.404900366,63.89045827,35.04248502,-3.403263201,64.18293619,35.07446336,-3.474460516,64.3537736,34.59980563,-3.642360908,63.62119065,35.0221151,-3.609804295,64.21461091,34.53590961,-3.635635757,63.49452351,35.22509003,-3.459713989,65.53067013,34.66923419,-3.639792252,63.81662678,34.58393904,-3.473096585,63.75561436,35.10194249,-3.646778117,64.27886503,34.22217562,-3.573257223,63.05912402,35.12827214,-3.570191968,64.53799316,34.48907762,-3.485897766,63.29743848,34.76575791,-3.434821677,64.2840962,94.64383333
34.98869738,-3.538280604,64.53346521,34.88418575,-3.562166218,63.69431264,35.01726846,-3.537603953,64.19957714,35.06416226,-3.577389886,64.24076447,34.51921423,-3.809147771,63.54271384,35.03191182,-3.761875958,64.48774936,34.54811145,-3.798401532,63.60765863,35.21008216,-3.679107222,65.50683696,34.61673394,-3.685195242,63.69939472,34.65878141,-3.7384988,63.70308279,35.09777939,-3.798002714,64.47277948,34.21664662,-3.711803855,63.17901388,34.99670171,-3.703970238,64.36961427,34.49466146,-3.75637614,63.2209842,34.77356345,-3.60550515,64.35200479,94.639
34.848293,-3.703968874,64.77165349,34.70907946,-3.670806627,64.0116069,34.86414818,-3.64523003,64.06736953,34.93857939,-3.695916499,64.43603894,34.33963612,-3.765717442,63.6683964,34.86936264,-3.858235915,64.61155319,34.37378861,-3.875286715,63.7301058,35.0876835,-3.742048203,65.54081093,34.51079886,-3.764996819,63.80617696,34.42034798,-3.843147341,63.81431526,34.93104176,-3.909607401,64.27732726,34.07318922,-3.820036196,63.26865494,34.82869385,-3.661532969,64.06758789,34.25990974,-3.733068406,63.31925825,34.59542645,-3.698796787,64.06283726,94.2225
34.64307096,-3.170699566,64.08678599,34.57888008,-3.035839039,63.61174147,34.71731693,-3.010633366,63.89791424,34.77627557,-3.004548218,64.04946629,34.29609448,-3.340035767,63.15614207,34.71684816,-3.251860588,64.02711651,34.25618462,-3.221789887,63.2563593,34.84362903,-3.129873499,64.63637034,34.38555825,-3.29585458,63.22250855,34.27940732,-3.278322539,63.54963815,34.77901005,-3.105445576,64.01646035,33.93934081,-3.305673919,62.582457,34.77039092,-3.089594731,63.86257707,34.21564623,-3.336716378,63.07913688,34.47399256,-3.299415052,63.79857923,94.18720833
35.1811665,-3.289566881,64.09799665,35.13172374,-3.419208615,64.14892799,35.26582295,-3.379182553,64.31944333,35.33025012,-3.411159476,64.13605995,34.67891713,-3.482721104,63.43223441,35.17336322,-3.394553825,64.26180084,34.78671644,-3.485343296,63.56940627,35.33790676,-3.353862875,64.91905701,34.77485627,-3.495040176,63.56095016,34.74839799,-3.495238538,63.20319853,35.31760845,-3.589803384,64.45325361,34.37949765,-3.431666977,62.85728831,35.31583111,-3.409853953,64.34703137,34.59566181,-3.476205208,63.60484509,34.92690505,-3.440241049,63.82269974,94.640875
